OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-FL,USGS Florida Water Science Center,USGS-02000009,"BLUEJAY CANAL AT EL DORADO PKWY., CAPE CORAL, FL",Stream: Canal,,03090205,,,,,26.54952104000000,-81.9862008900000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02000010,"SAN CARLOS CANAL AT SE 6TH PL., CAPE CORAL, FL",Stream: Canal,,03090205,,,,,26.58979709000000,-81.9609221000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02000011,"LIDO CANAL AT SE 10TH AVE., CAPE CORAL, FL",Stream: Canal,,03090205,,,,,26.58979707000000,-81.9536997000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02000012,"BLUEJAY CANAL AT MOUTH AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.54285470000000,-82.0081460000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02000013,"BLUEJAY CANAL AT SW 8TH PL., CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.56424267000000,-81.9920343000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291500,"IMPERIAL RIVER NEAR BONITA SPRINGS, FL",Stream,,03090204,,,,,26.33583333000000,-81.7493888900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291510,"IMPERIAL RIVER NEAR MOUTH AT BONITA SHORES, FL",Stream,,03090204,,,,,26.33702859000000,-81.8311986000000,,1,seconds,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291524,"SPRING CREEK HEADWATER NEAR BONITA SPRINGS, FL",Stream,,03090204,,,,,26.36233333000000,-81.7903611000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291525,"SPRING CREEK OVERFLOW NEAR BONITA SPRINGS, FL",Stream,,03090204,,,,,26.36674960000000,-81.7956417800000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291580,"NORTH BRANCH ESTERO RIVER AT ESTERO, FL",Stream,,03090204,,,,,26.44294444000000,-81.7959722000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291597,"SOUTH BRANCH ESTERO RIVER AT ESTERO, FL",Stream,,03090204,,,,,26.42875000000000,-81.7934444000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291600,"ESTERO RIVER AT ESTERO, FLA.",Stream,,03090204,50.00,sq mi,,,26.43480280000000,-81.8048080000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291610,"ESTERO RIVER NEAR THE MOUTH NEAR ESTERO, FL",Stream,,03090204,,,,,26.43563623000000,-81.8503648000000,,1,seconds,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291650,"WHISKEY CREEK AT WHSIKEY CREEK CLUB, NEAR FT. MYER",Stream,,03090205,,,,,26.57451975000000,-81.8911981000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291655,"MULLOCK CREEK NEAR THE MOUTH NEAR ESTERO, FL",Stream,,03090204,,,,,26.46424635000000,-81.8656427000000,,1,seconds,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291669,"SIXMILE CYPRESS CREEK NEAR FORT MYERS,  FL",Stream,,03090204,,,,,26.52202778000000,-81.8544167000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291670,"SIXMILE CYPRESS CREEK SOUTH NEAR FORT MYERS, FL",Stream,,03090204,,,,,26.51841090000000,-81.8545307900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291673,"TENMILE CANAL AT CONTROL NEAR ESTERO, FL",Stream: Canal,,03090204,,,,,26.50688889000000,-81.8544167000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291674,"TENMILE CANAL BELOW CONTROL NR ESTERO, FL",Stream: Canal,,03090204,,,,,26.51785539000000,-81.8548086000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291700,LINE A CAN NR FORT MYERS FL,Stream,,03090204,,,,,26.51702208000000,-81.8498084000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291710,"BRIARCLIFF DITCH AT MOUTH NEAR ESTERO,FL",Stream: Ditch,,03090204,,,,,26.50641667000000,-81.8527778000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291715,"LAKE OUTFALL, HENDRY CREEK AT GLADIOLUS DR FT MYER",Stream,,03090204,,,,,26.53091043000000,-81.8748090000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291717,LAKE OUTFALL TO HENDRY CREEK SUMMERLIN RD FT MYERS,Stream,,03090204,,,,,26.53229929000000,-81.8845315000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291736,"MAIN LAKE OUTLET NEAR FORT MYERS, FL",Stream,,03090204,,,,,26.52757726000000,-81.8828649000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291742,"EAST LAKE OULTLET NEAR FORT MYERS, FL","Lake, Reservoir, Impoundment",,03090204,,,,,26.52452180000000,-81.8750869000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02291780,GULF OF MEXICO AT FORT MYERS BEACH FL,Ocean: Coastal,,03090204,,,,,26.45230257000000,-81.9567564000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02292795,CALOOSAHATCHEE RIVER AT ALVA FLA,Stream,,03090205,,,,,26.71367926000000,-81.6103574900000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02292900,"CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA",Stream,,03090205,,,,,26.72173487000000,-81.6931369900000,,1,seconds,Interpolated from MAP.,NAD83,0,feet,.01,feet,Level or other surveyed method.,NGVD29,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02292901,"CALOOSAHATCHEE RIVER BELOW S-79 NEAR OLGA, FLA.",Stream,,03090205,,,,,26.72275833000000,-81.6959333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02292917,TELEGRAPH CREEK 10B AT SR-78,Stream,,03090205,,,,,26.73062340000000,-81.7014705000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-022929176,"TELEGRAPH CREEK AT STATE HIGHWAY AT OLGA, FL",Stream,,03090205,67.4,sq mi,,,26.72735833000000,-81.7034528000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293000,"ORANGE RIVER NR FORT MYERS, FLA.",Stream,,03090205,60.00,sq mi,,,26.66701520000000,-81.7320269000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293050,"ORANGE RIVER AT BUCKINGHAM NR FORT MYERS, FLA.",Stream,,03090205,70.00,sq mi,,,26.67034839000000,-81.7320269000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,2.78,feet,.01,feet,Level or other surveyed method.,NGVD29,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293055,"ORANGE RIVER NEAR BUCKINGHAM, FL",Stream,,03090205,68.4,sq mi,,,26.69194444000000,-81.7594444000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293090,"Popash Creek at Leetana Rd. nr North Fort Myers,FL",Stream,,03090205,,,,,26.71571667000000,-81.8086667000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293190,BILLYS CR AT FT MYERS FL,Stream,,03090205,,,,,26.65388889000000,-81.8405556000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293192,BILLYS CR TRIBUTARY AT FT MYERS FL,Stream,,03090205,,,,,26.64840534000000,-81.8406408000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293195,10B UNNAMED STREAM AT MICH AVE & CEM AT FT,Stream,,03090205,,,,,26.64812760000000,-81.8478632000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293202,CALOOSAHATCHEE RIVER AT FORT MYERS FL,Stream,,03090205,,,,,26.65106089000000,-81.8689416000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293205,CALOOSAHATCHEE RIVER AT CHANNEL MARKER 52 NR. FT.,Stream,,03090205,,,,,26.64138889000000,-81.8827778000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293210,"CALOOSAHATCHEE RIVER AT SHELL POINT NEAR IONA, FL",Stream,,03100103,,,,,26.52371389000000,-82.0050806000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293212,10B MANUELS BR AT MCGREG BLVD AT FT MYERS,Stream,,03090205,,,,,26.63007293000000,-81.8828643000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293214,"MEADE CANAL AT CAPE CORAL, FL",Stream: Canal,,03090205,,,,,26.63646170000000,-81.9298099000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293216,"MACKINAC CANAL AT CAPE CORAL, FL",Stream: Canal,,03090205,,,,,26.63618405000000,-81.9578661900000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293230,"WHISKEY CREEK AT FT. MYERS, FL",Stream,,03090205,,,,,26.57488889000000,-81.8918888900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293240,"ARIES CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.60035230000000,-81.9939785000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293241,"SAN CARLOS CANAL AT CAPE CORAL, FL",Stream: Canal,,03090205,,,,,26.60340765000000,-81.9631443000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293243,"COURTNEY CANAL AT CAPE CORAL, FL",Stream: Canal,,03090205,,,,,26.57813097000000,-81.9831450000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293245,CAMELOT CANAL AT CONTROL AT CAPE CORAL,Stream: Canal,,03100103,,,,,26.54341024000000,-82.0089793000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293246,"CAMELOT CANAL BELOW CONTROL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.54341024000000,-82.0087015000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293249,McIntyre Creek at Sanibel Island,Estuary,,03100103,,,,,26.46427778000000,-82.1045556000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293252,"DURDEN CREEK NR CAPE CORAL, FL",Estuary,,03100103,,,,,26.74383333000000,-82.0600278000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293254,"YUCCA PENS CREEK NR CAPE CORAL, FL",Estuary,,03100103,,,,,26.75533333000000,-82.0594722000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293261,GATOR SLOUGH AT US41 NEAR FT MYERS FL,Stream,,03100103,,,,,26.74423494000000,-81.9161978000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293262,GATOR SLOUGH WEST OF US-41 NEAR FT. MYERS FL,Stream,,03100103,,,,,26.74202778000000,-81.9209444000000,,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293263,"GATOR SLOUGH ABOVE WEIR 19 AT CAPE CORAL, FL",Stream,,03100103,,,,,26.72563333000000,-81.9566972000000,,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293264,"GATOR SLOUGH AT SR 765 AT CAPE CORAL, FL",Stream,,03100103,,,,,26.69423756000000,-82.0370344000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293280,MATLACHA PASS AT PARROTS PERCH NR ST JAMES CITY FL,Stream,,03100103,,,,,26.54674369000000,-82.0817588000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293288,SAN CARLOS BAY AT ST JAMES CITY FL,Stream,,03100103,,,,,26.48980150000000,-82.0831481000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293310,PINE ISLAND SOUND NEAR CAPTIVA FL,Estuary,,03100103,,,,,26.54868846000000,-82.1964836000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293330,GULF OF MEXICO AT CAYO COSTA NEAR BOCA GRANDE FL,Ocean: Coastal,,03100103,,,,,26.68673885000000,-82.2578728000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293332,CHARLOTTE HARBOR AT PORT BOCA GRANDE FL,"Lake, Reservoir, Impoundment",,03100103,,,,,26.72034865000000,-82.2581503000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293340,CHARLOTTE HARBOR AT BOKEELIA FL,Stream,,03100103,,,,,26.70729320000000,-82.1637038000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293342,"MATLACHA PASS AT INDIAN FIELD ISLAND NR MATLACHA,",Stream,,03100103,,,,,26.66007257000000,-82.1037028000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293343,"MATLACHA PASS AT MATLACHA, FL",Ocean: Coastal,,03100103,,,,,26.63229575000000,-82.0678688800000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293344,NORTH SPREADER CANAL AT CIETUS BOAT L. CAPE CORAL,Stream: Canal,,03100103,,,,,26.64219444000000,-82.0564444000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-022933442,"BREACH 1 IN NORTH SPREADER CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.64413889000000,-82.0566667000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293345,"SHADROE CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.65229480000000,-82.0392570000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-022933452,"BREACH 2 IN NORTH SPREADER CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.64683333000000,-82.0585833000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293346,"HORSESHOE CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.67840488000000,-82.0403679000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-022933462,"BREACH 3 IN NORTH SPREADER CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.67077778000000,-82.0633056000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293347,"HERMOSA CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.67840488000000,-82.0403679000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293348,"BREACH 4 IN NORTH SPREADER CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.68400000000000,-82.0649444000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293349,"BREACH 6 IN NORTH SPREADER CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.69750000000000,-82.0653333000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293350,"BREACH 7 IN NORTH SPREADER CANAL AT CAPE CORAL, FL",Stream: Canal,,03100103,,,,,26.70944444000000,-82.0703611000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-02293356,CHARLOTTE HARBOR NR MATLACHA FL,Stream,,03100103,,,,,26.76145718000000,-82.0623122000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-261620081471900,"COCOHATCHEE RIVER TRIB NO2 NR NAPLES, FL",Stream,,03090204,,,,,26.27258624000000,-81.7884203900000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
USGS-FL,USGS Florida Water Science Center,USGS-261620081473200,"COCOHATCHEE RIVER TRIB NO3 NR NAPLES, FL",Stream,,03090204,,,,,26.27258626000000,-81.7920316000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,12,071,,,,,,,,,,NWIS
